topic_family,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,authors_distinct_count,authors_body_removed_count,authors_body_deleted_count,authors_author_deleted_count,authors_automod_count,authors_bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct,body_removed_rate_by_authors_pct,body_deleted_rate_by_authors_pct,author_deleted_rate_by_authors_pct,automod_author_rate_by_authors_pct,bot_name_heuristic_rate_by_authors_pct
economics_news,2022-12-10,4804,339,182,587,29,33,82,2225,1,1,1,1,15,2022-12-10,10,7.056619483763531,3.788509575353872,12.218984179850125,0.6036636136552873,0.6869275603663614,1.706910907577019,0.0449438202247191,0.0449438202247191,0.0449438202247191,0.0449438202247191,0.6741573033707865
economics_news,2022-12-11,6903,1586,320,1946,108,44,33,2476,1,1,1,1,16,2022-12-11,11,22.975517890772128,4.635665652614805,28.190641749963785,1.564537157757497,0.6374040272345357,0.47805302042590175,0.04038772213247173,0.04038772213247173,0.04038772213247173,0.04038772213247173,0.6462035541195477
economics_news,2022-12-12,6675,385,309,766,71,50,59,2777,1,1,1,1,12,2022-12-12,12,5.7677902621722845,4.629213483146068,11.47565543071161,1.0636704119850187,0.7490636704119851,0.8838951310861423,0.036010082823190494,0.036010082823190494,0.036010082823190494,0.036010082823190494,0.4321209938782859
economics_news,2022-12-13,6953,411,314,765,54,58,41,3085,1,1,1,1,22,2022-12-13,13,5.911117503236013,4.516036243348195,11.00244498777506,0.7766431756076514,0.8341722997267367,0.5896735222206242,0.03241491085899514,0.03241491085899514,0.03241491085899514,0.03241491085899514,0.713128038897893
economics_news,2022-12-14,6634,369,301,690,55,57,64,2804,1,1,1,1,14,2022-12-14,14,5.562255049743745,4.537232438950859,10.4009647271631,0.829062405788363,0.8592101296352125,0.964727163099186,0.03566333808844508,0.03566333808844508,0.03566333808844508,0.03566333808844508,0.4992867332382311
economics_news,2022-12-15,6971,584,327,950,79,51,51,2789,1,1,1,1,15,2022-12-15,15,8.377564194520156,4.690862143164539,13.627886960263952,1.1332663893272128,0.7316023526036436,0.7316023526036436,0.035855145213338116,0.035855145213338116,0.035855145213338116,0.035855145213338116,0.5378271782000718
economics_news,2022-12-16,6226,487,277,797,62,63,42,2679,1,1,1,1,11,2022-12-16,16,7.8220366206231935,4.449084484420174,12.801156440732411,0.9958239640218438,1.0118856408609058,0.6745904272406039,0.03732736095558044,0.03732736095558044,0.03732736095558044,0.03732736095558044,0.41060097051138483
economics_news,2022-12-17,4127,228,153,410,45,27,20,2049,1,1,1,1,11,2022-12-17,17,5.5245941361763995,3.707293433486794,9.934577174703174,1.090380421613763,0.6542282529682578,0.48461352071722796,0.04880429477794046,0.04880429477794046,0.04880429477794046,0.04880429477794046,0.5368472425573451
economics_news,2022-12-18,4044,482,153,654,43,33,23,1964,1,1,1,1,14,2022-12-18,18,11.918892185954501,3.783382789317508,16.172106824925816,1.063303659742829,0.8160237388724036,0.5687438180019783,0.05091649694501018,0.05091649694501018,0.05091649694501018,0.05091649694501018,0.7128309572301426
economics_news,2022-12-19,5050,343,186,549,37,37,16,2345,1,1,1,1,10,2022-12-19,19,6.792079207920793,3.683168316831683,10.871287128712872,0.7326732673267327,0.7326732673267327,0.31683168316831684,0.042643923240938165,0.042643923240938165,0.042643923240938165,0.042643923240938165,0.42643923240938164
economics_news,2022-12-20,5104,306,197,516,41,64,13,2226,1,1,1,1,9,2022-12-20,20,5.995297805642633,3.8597178683385582,10.109717868338558,0.8032915360501568,1.2539184952978055,0.25470219435736674,0.04492362982929021,0.04492362982929021,0.04492362982929021,0.04492362982929021,0.40431266846361186
economics_news,2022-12-21,5056,312,178,508,139,57,19,2329,1,1,1,1,12,2022-12-21,21,6.170886075949367,3.5205696202531644,10.047468354430379,2.7492088607594938,1.1273734177215189,0.37579113924050633,0.042936882782310004,0.042936882782310004,0.042936882782310004,0.042936882782310004,0.51524259338772
economics_news,2022-12-22,5779,474,244,744,41,48,24,2703,1,1,1,1,17,2022-12-22,22,8.20211109188441,4.222183768818135,12.874199688527426,0.709465305416162,0.830593528292092,0.415296764146046,0.03699593044765076,0.03699593044765076,0.03699593044765076,0.03699593044765076,0.628930817610063
economics_news,2022-12-23,4407,282,159,462,115,57,23,2039,1,1,1,1,13,2022-12-23,23,6.398910823689585,3.6078965282505107,10.483321987746766,2.609484910369866,1.2933968686181077,0.5218969820739733,0.04904364884747425,0.04904364884747425,0.04904364884747425,0.04904364884747425,0.6375674350171653
economics_news,2022-12-24,3584,248,134,398,40,56,21,1768,1,1,1,1,11,2022-12-24,24,6.919642857142858,3.7388392857142856,11.104910714285714,1.1160714285714286,1.5625,0.5859375,0.056561085972850686,0.056561085972850686,0.056561085972850686,0.056561085972850686,0.6221719457013575
economics_news,2022-12-25,4586,254,137,420,38,37,16,2273,1,1,1,1,10,2022-12-25,25,5.538595726122983,2.987352812908853,9.158307893589186,0.8286088094199738,0.8068033144352376,0.3488879197557785,0.04399472063352398,0.04399472063352398,0.04399472063352398,0.04399472063352398,0.43994720633523976
economics_news,2022-12-26,4667,302,220,547,19,32,14,2238,1,1,1,1,11,2022-12-26,26,6.470966359545746,4.713949003642597,11.720591386329549,0.4071137775873152,0.6856653096207413,0.2999785729590743,0.044682752457551385,0.044682752457551385,0.044682752457551385,0.044682752457551385,0.49151027703306527
economics_news,2022-12-27,4954,278,213,501,43,52,15,2318,1,1,1,1,11,2022-12-27,27,5.61162696810658,4.299555914412596,10.113039967702866,0.8679854662898667,1.0496568429551878,0.3027856277755349,0.04314063848144953,0.04314063848144953,0.04314063848144953,0.04314063848144953,0.4745470232959448
economics_news,2022-12-28,5742,510,180,693,37,35,21,2541,1,1,1,1,8,2022-12-28,28,8.881922675026123,3.1347962382445136,12.068965517241379,0.6443747823058168,0.6095437129919888,0.3657262277951933,0.03935458480913026,0.03935458480913026,0.03935458480913026,0.03935458480913026,0.3148366784730421
economics_news,2022-12-29,6610,1233,186,1427,38,51,23,2650,1,1,1,1,17,2022-12-29,29,18.6535552193646,2.8139183055975794,21.588502269288956,0.5748865355521936,0.7715582450832073,0.34795763993948564,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.6415094339622641
