topic_group,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct
life_advice,2022-12-03,6096,99,352,609,8,85,117,2022-12-03,3,1.6240157480314958,5.774278215223097,9.990157480314961,0.13123359580052493,1.3943569553805775,1.9192913385826773
life_advice,2022-12-04,6377,134,391,635,5,39,105,2022-12-04,4,2.101301552454132,6.131409753802728,9.957660341853536,0.07840677434530344,0.6115728398933669,1.646542261251372
life_advice,2022-12-05,7388,136,395,730,9,70,117,2022-12-05,5,1.8408229561451002,5.346507850568489,9.880887926367082,0.12181916621548457,0.9474824038982134,1.5836491608012995
life_advice,2022-12-06,6091,82,319,587,8,87,117,2022-12-06,6,1.346248563454277,5.237235265145297,9.637169594483664,0.13134132326383188,1.4283368904941716,1.9208668527335413
life_advice,2022-12-07,6701,107,291,611,10,72,128,2022-12-07,7,1.596776600507387,4.342635427548127,9.118042083271154,0.14923145799134457,1.074466497537681,1.9101626622892105
life_advice,2022-12-08,6059,104,311,535,4,51,112,2022-12-08,8,1.7164548605380425,5.132860207955108,8.829839907575506,0.06601749463607856,0.8417230566100017,1.8484898498101996
life_advice,2022-12-09,6514,148,302,577,7,44,161,2022-12-09,9,2.2720294749769727,4.636168252993552,8.857844642308873,0.10746085354620817,0.6754682222904513,2.4715996315627877
life_advice,2022-12-10,708,5,38,63,1,10,16,2022-12-10,10,0.7062146892655368,5.367231638418079,8.898305084745763,0.14124293785310735,1.4124293785310735,2.2598870056497176
life_advice,2023-01-01,154,9,7,20,1,4,1,2023-01-01,32,5.844155844155844,4.545454545454546,12.987012987012985,0.6493506493506493,2.5974025974025974,0.6493506493506493
life_advice,2023-02-01,68,5,8,13,0,5,2,2023-02-01,63,7.352941176470589,11.76470588235294,19.11764705882353,0.0,7.352941176470589,2.941176470588235
life_advice,2023-03-01,15,0,0,0,0,2,0,2023-03-01,91,0.0,0.0,0.0,0.0,13.333333333333334,0.0
