file,rows_total,rows_kept,rows_removed,missing_id_rows,invalid_json_rows
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-02.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-03.ndjson,10,10,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-04.ndjson,8,8,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-05.ndjson,15,15,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-06.ndjson,6,6,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-07.ndjson,9,9,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-08.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-09.ndjson,7,7,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-10.ndjson,2,2,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-11.ndjson,11,11,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-12.ndjson,5,5,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-13.ndjson,5,5,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-14.ndjson,6,6,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-15.ndjson,14,14,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-16.ndjson,15,15,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-17.ndjson,19,19,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-18.ndjson,4,4,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-19.ndjson,1,1,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-20.ndjson,6,6,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-21.ndjson,3,3,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-22.ndjson,19,19,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-23.ndjson,11,11,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-24.ndjson,14,14,0,0,0
data/raw/political_forums/daily_chunks/Ask_Politics/2023-02-25.ndjson,18,18,0,0,0
